Position,Business Title,Location,Description,Asking Price,Cash Flow,Business URL,Image URL,Revenue,P/E Ratio
128,Reduced Price - Exceptional Pizza Business Opportunity - Ottawa,"Canada, Ontario, Canada","Attention all aspiring restaurateurs and pizza connoisseurs! An exceptional opportunity awaits with the sale of this esteemed pizza establishment. Situated in a highly coveted location, this turnkey... More details »",299000,159000,https://canada.businessesforsale.com/canadian/reduced-price-exceptional-pizza-business-opportunity-ottawa-for-sale.aspx,https://canada.businessesforsale.com/uploadsstatic/a3707606mediumthumbnail.jpg?YtgPRhoeeUlSfDaEaNTSGg==,626000,1.9
129,iOB Business Digital Agency Opportunity in Kitchener,"Kitchener, Ontario",,,,https://canada.businessesforsale.com/canadian/franchises/opportunities/iob-business-opportunity-canada?location=Kitchener,https://canada.businessesforsale.com/canadian/franchises/images/franchise7841/browselogobig.jpg,,
130,Long-established Bicycle & Accessories Shop For Sale Serving Eastern Ontario Canada,"Ottawa, Ontario, Canada",Profitable and well-established cycling boutique in Eastern Ontario. The business is benefiting from the growing popularity of electric bikes and also enjoys strong loyalty and repeats business due to... More details »,344000,152754,https://canada.businessesforsale.com/canadian/long-established-bicycle-and-accessories-shop-for-sale-serving-eastern-ontario-canada.aspx,https://canada.businessesforsale.com/uploadsstatic/a3707605mediumthumbnail.jpg?Qf1LA2fMPvHOEFEgJkUMRg==,725483,2.3
131,Lucrative Small Grocery On Long Point Bay In Port Rowan,"Port Rowan, Ontario, Canada",,850000,,https://canada.businessesforsale.com/canadian/lucrative-small-grocery-on-long-point-bay-in-port-rowan.aspx,https://canada.businessesforsale.com/uploadsstatic/a3707516mediumthumbnail.jpg?hPMF69PgBuTVVSHm3FgqRA==,,
132,Engino - Classroom Solutions Franchise in Toronto,"Toronto, Ontario",,35000,300000,https://canada.businessesforsale.com/canadian/franchises/opportunities/engino-classroom-solutions-franchise?location=Toronto,https://canada.businessesforsale.com/canadian/franchises/images/franchise8380/browselogobig.jpg,,0.1
133,Well-Known F45 Fitness Studio In Toronto,"Toronto, Ontario, Canada",,650000,175000,https://canada.businessesforsale.com/canadian/well-known-f45-fitness-studio-in-toronto.aspx,https://canada.businessesforsale.com/uploadsstatic/a3558908mediumthumbnail.jpg?d0kDb6V4xrOBhs2OlrPg+A==,,3.7
134,Established and Profitable Career College In Ontario,"Ontario, Canada",,,,https://canada.businessesforsale.com/canadian/established-and-profitable-career-college-in-ontario.aspx,https://canada.businessesforsale.com/uploadsstatic/a3703932mediumthumbnail.jpg?jx35lty/a+pceWHOWmUaNQ==,,
135,INS Market - Convenience Store Franchise in 34 Sudbury St.,"34 Sudbury St., Ontario",,30000,100000,https://canada.businessesforsale.com/canadian/franchises/opportunities/ins-market-convenience-franchise?location=34%20Sudbury%20St.,https://canada.businessesforsale.com/canadian/franchises/images/franchise8394/browselogobig.jpg,135000,0.3
136,Established Glass Repair Business In London,"London, Ontario, Canada",,30000,75000,https://canada.businessesforsale.com/canadian/established-glass-repair-business-in-london.aspx,https://canada.businessesforsale.com/content/shared/images/categoryimages/services.png,175000,0.4
137,Profitable Children's STEM Camp Franchise In Halton,"Halton, Ontario, Canada",,25000,,https://canada.businessesforsale.com/canadian/profitable-children-s-stem-camp-franchise-in-halton.aspx,https://canada.businessesforsale.com/uploadsstatic/a3699933mediumthumbnail.jpg?pEQhBYp1l9F1jrYyCdE8pg==,,
138,"Ideal Caregivers 4u Franchise in Barrie, Ontario","Barrie, Ontario, Ontario",,65000,,https://canada.businessesforsale.com/canadian/franchises/opportunities/ideal-caregiveers-4u-franchise?location=Barrie%2C%20Ontario,https://canada.businessesforsale.com/canadian/franchises/images/franchise8090/browselogobig.jpg,105000,
139,"Digital Billboards Media Company providing Passive Income, Ontario","Ontario, Canada",,2500000,,https://canada.businessesforsale.com/canadian/digital-billboards-media-company-providing-passive-income-ontario-for-sale.aspx,https://canada.businessesforsale.com/uploadsstatic/a3703357mediumthumbnail.jpg?cDHVoVg8chC3XhqSGgxJTg==,,
140,Waffle To Go - Prime Mall Location Franchise in Hamilton,"Hamilton, Ontario",,20000,100000,https://canada.businessesforsale.com/canadian/franchises/opportunities/waffle-to-go-franchise?location=Hamilton,https://canada.businessesforsale.com/canadian/franchises/images/franchise8433/browselogobig.jpg,300000,0.2
141,Successful And Reputable Window & Door Company In Eastern Ontario,"Eastern Ontario, Ontario, Canada","Successful and reputable window and door company is available for immediate sale in Eastern Ontario. Specializing in the highest quality windows and doors sales and service, the company� name is... More details »",800000,217000,https://canada.businessesforsale.com/canadian/successful-and-reputable-window-and-door-company-in-eastern-ontario-for-sale.aspx,https://canada.businessesforsale.com/uploadsstatic/a3462146mediumthumbnail.jpg?+XoDVT1zPZREMQumJQcfXQ==,1993000,3.7
142,"Well Established, Legendary Full Service Family Restaurant In Ontario","Ontario, Canada",,1300000,400000,https://canada.businessesforsale.com/canadian/well-established-legendary-full-service-family-restaurant-in-ontario.aspx,https://canada.businessesforsale.com/content/shared/images/categoryimages/food.png,,3.3
143,"The Chopped Leaf Healthy Restaurant Franchise in Hamilton, ON","Hamilton,Ontario Ontario",,30000,,https://canada.businessesforsale.com/canadian/franchises/opportunities/the-chopped-leaf-restaurant-franchise?location=Hamilton%2C%20ON,https://canada.businessesforsale.com/canadian/franchises/images/franchise8034/browselogobig.jpg,,
144,Extremely Profitable Property Restoration Business In Southwestern Ontario,"Southwestern Ontario, Canada","Are you looking for a lucrative opportunity to own an established property restoration and construction company? Look no further! We are excited to present this profitable business, located in the... More details »",1750000,390000,https://canada.businessesforsale.com/canadian/extremely-profitable-property-restoration-business-in-southwestern-ontario-for-sale.aspx,https://canada.businessesforsale.com/uploadsstatic/a3430052mediumthumbnail.jpg?VVwtshc5LGF7haOt7kKmIQ==,4400000,4.5
145,Highly Reputable Auto & Equipment Parts Store For Sale In Eastern Ontario,"Eastern Ontario, Ontario, Canada","Established in 2003, this distinguished Auto & Equipment Parts Store is now available for acquisition in Eastern Ontario. This profitable enterprise caters to a broad spectrum of customers, including... More details »",350000,83000,https://canada.businessesforsale.com/canadian/highly-reputable-auto-and-equipment-parts-store-for-sale-in-eastern-ontario-for-sale.aspx,https://canada.businessesforsale.com/uploadsstatic/a3417128mediumthumbnail.jpg?spEsqvCpLp6fQfqlWgDaEA==,285000,4.2
146,Senior Helpers - Care Franchise in Cambridge,"Cambridge, Ontario",,,,https://canada.businessesforsale.com/canadian/franchises/opportunities/senior-helpers-care-franchise?location=Cambridge,https://canada.businessesforsale.com/canadian/franchises/images/franchise8422/browselogobig.jpg,,
147,Highly Profitable And Distinguished Roofing Contractor Business In Eastern Ontario,"Eastern Ontario, Canada","Highly Profitable Roofing Business in Eastern Ontario for Sale. Successful Roofing Contractor for Sale in Ontario. This business offers a variety of roofing services for residential, commercial, and... More details »",5000000,1228000,https://canada.businessesforsale.com/canadian/highly-profitable-and-distinguished-roofing-contractor-business-in-eastern-ontario-for-sale.aspx,https://canada.businessesforsale.com/uploadsstatic/a3408200mediumthumbnail.jpg?D5K5cJiTw0iDyCJ3C1VYtw==,4294000,4.1
148,Profitable Full-Service Mobile Welding Business In Eastern Ontario,"Eastern Ontario, Canada",Profitable full-service mobile welding business for sale in Eastern Ontario Canada. Custom metal fabrication business for sale near Ottawa Ontario. The business comes with all the equipment needed to... More details »,287000,127000,https://canada.businessesforsale.com/canadian/profitable-full-service-mobile-welding-business-in-eastern-ontario-for-sale.aspx,https://canada.businessesforsale.com/uploadsstatic/a3382915mediumthumbnail.jpg?bd9jn5isg82nZh06uvOesA==,334000,2.3
149,"Cinnzeo Caf� � Quality Bakery Franchise in London, ON","London,Ontario Ontario",,30000,150000,https://canada.businessesforsale.com/canadian/franchises/opportunities/cinnzeo-bakery-franchise?location=London%2C%20ON,https://canada.businessesforsale.com/canadian/franchises/images/franchise6957/browselogobig.jpg,,0.2
150,Highly Profitable Home Improvement Solutions Provider In Ottawa,"Ottawa, Ontario, Canada",UNDER CONTRACT - Custom storage solutions provider for sale in Eastern Ontario. This business designs and installs custom premium quality cabinets and closets and provides related services to organize... More details »,450000,172515,https://canada.businessesforsale.com/canadian/highly-profitable-home-improvement-solutions-provider-in-ottawa-for-sale.aspx,https://canada.businessesforsale.com/uploadsstatic/a3328021mediumthumbnail.jpg?hhW/lBnPm4Euuyo1/36q6A==,841230,2.6
151,Become A Business Broker,"Ottawa, Ontario, Canada","Join the worlds #1 Business Brokering team. Enjoy a career filled with building connections that help clients buy and sell businesses to achieve their personal goals. As a business broker, you can use... More details »",,,https://canada.businessesforsale.com/canadian/become-a-business-broker-for-sale-33.aspx,https://canada.businessesforsale.com/uploadsstatic/a3173373mediumthumbnail.jpg?l0SgJIDF4tPbMUKDwB0lGQ==,,
152,"Handyman Connection Canadian Home Services Franchise in Mississauga, Ontario","Mississauga, Ontario",,65000,35000,https://canada.businessesforsale.com/canadian/franchises/opportunities/handyman-connection-services-franchise?location=Mississauga%2C%20Ontario,https://canada.businessesforsale.com/canadian/franchises/images/franchise8385/browselogobig.jpg,,1.9
153,Become The Sunbelt Canada Franchise Owner,"Ottawa, Ontario, Canada","The Gatineau, Longueuil, Montreal South Shore, Barrie, London, Toronto North East, Oshawa/Whitby, Peterborough/Northumberland and areas Sunbelt Business Brokers area is for sale. If you have a strong... More details »",,,https://canada.businessesforsale.com/canadian/become-the-sunbelt-canada-franchise-owner-for-sale.aspx,https://canada.businessesforsale.com/uploadsstatic/a3173367mediumthumbnail.jpg?QGcrgCsLmmjU9MlmJx+tZg==,,
154,Career College Franchise Opportunity In GTA,"Toronto Ontario, Canada",,325000,104000,https://canada.businessesforsale.com/canadian/career-college-franchise-opportunity-in-gta.aspx,https://canada.businessesforsale.com/uploadsstatic/a3755296mediumthumbnail.jpg?MfpRCRME/EeHeqdqpHuX7Q==,244000,3.1
155,ChargeFuze On-the-go Smartphone Charging Solution Business Opportunity in Windsor,"Windsor, Ontario",,,,https://canada.businessesforsale.com/canadian/franchises/opportunities/charge-fuze-charging-solution-business-opportunity?location=Windsor,https://canada.businessesforsale.com/canadian/franchises/images/franchise8354/browselogobig.jpg,160000,
156,Career College Franchise Opportunity In Waterloo,"Waterloo, Ontario, Canada",,275000,80000,https://canada.businessesforsale.com/canadian/career-college-franchise-opportunity-in-waterloo.aspx,https://canada.businessesforsale.com/uploadsstatic/a3755294mediumthumbnail.jpg?MfpRCRME/EeHeqdqpHuX7Q==,281000,3.4
157,Established Unique Egyptian Food Restaurant - Franchise GTA,"Toronto, Ontario, Canada","Buyers have the opportunity to own and operate one of the hottest Egyptian Food Restaurants in the GTA, providing their community with an untapped market in the food industry. More details »",750000,372000,https://canada.businessesforsale.com/canadian/established-unique-egyptian-food-restaurant-franchise-gta.aspx,https://canada.businessesforsale.com/uploadsstatic/a3755262mediumthumbnail.jpg?/igBy+eCXIYdKby3errWnw==,1418130,2.0
158,FranServe Consultancy Franchise in Barrie,"Barrie, Ontario",,,,https://canada.businessesforsale.com/canadian/franchises/opportunities/franserve-franchise?location=Barrie,https://canada.businessesforsale.com/canadian/franchises/images/franchise7966/browselogobig.jpg,,
159,Leading Scarborough Painting Business Awaits You,"Scarborough, Ontario, Canada","Are you ready to take the leap into business ownership? Here is a turnkey franchised business resale. It has equipment, trained employees, accounts and ongoing cash flow. This is the perfect chance to... More details »",199000,,https://canada.businessesforsale.com/canadian/leading-scarborough-painting-business-awaits-you-for-sale.aspx,https://canada.businessesforsale.com/uploadsstatic/a3755076mediumthumbnail.jpg?665Q1rfNNngBtDSqR9as7w==,,
160,Leading Beaverton Painting Business Awaits You,"Beaverton, Ontario, Canada","Are you ready to take the leap into business ownership? Here is a turnkey franchised business resale. It has equipment, trained employees, accounts and ongoing cash flow. This is the perfect chance to... More details »",199000,,https://canada.businessesforsale.com/canadian/leading-beaverton-painting-business-awaits-you-for-sale.aspx,https://canada.businessesforsale.com/uploadsstatic/a3755062mediumthumbnail.jpg?665Q1rfNNngBtDSqR9as7w==,,
161,"Chef� Door - Restaurant Franchise in Toronto, ON","Toronto,Ontario Ontario",,35000,,https://canada.businessesforsale.com/canadian/franchises/opportunities/chefs-door-franchise?location=Toronto%2C%20ON,https://canada.businessesforsale.com/canadian/franchises/images/franchise8571/browselogobig.jpg,,
162,Leading Barrie Painting Business Awaits You,"Barrie, Ontario, Canada","Are you ready to take the leap into business ownership? Here is a turnkey franchised business resale. It has equipment, trained employees, accounts and ongoing cash flow. This is the perfect chance to... More details »",199000,,https://canada.businessesforsale.com/canadian/leading-barrie-painting-business-awaits-you-for-sale.aspx,https://canada.businessesforsale.com/uploadsstatic/a3755061mediumthumbnail.jpg?665Q1rfNNngBtDSqR9as7w==,,
163,Leading Aurora Painting Business Awaits You,"Aurora, Ontario, Canada","Are you ready to take the leap into business ownership? Here is a turnkey franchised business resale. It has equipment, trained employees, accounts and ongoing cash flow. This is the perfect chance to... More details »",199000,,https://canada.businessesforsale.com/canadian/leading-aurora-painting-business-awaits-you-for-sale.aspx,https://canada.businessesforsale.com/uploadsstatic/a3755060mediumthumbnail.jpg?665Q1rfNNngBtDSqR9as7w==,,
164,INS Market - Convenience Store Franchise in Etobicoke General Hospital,"Etobicoke General Hospital, Ontario",,30000,100000,https://canada.businessesforsale.com/canadian/franchises/opportunities/ins-market-convenience-franchise?location=Etobicoke%20General%20Hospital,https://canada.businessesforsale.com/canadian/franchises/images/franchise8394/browselogobig.jpg,315000,0.3
165,Real Estate Property With Unique Business In Ontario,"Niagara Region, Ontario, Canada",,3450000,,https://canada.businessesforsale.com/canadian/real-estate-property-with-unique-business-in-ontario.aspx,https://canada.businessesforsale.com/uploadsstatic/a3742931mediumthumbnail.jpg?yq5KVEkN3Wv106LJWmH/+Q==,,
166,Fresh Burger Franchise in Oakville,"Oakville, Ontario",,,,https://canada.businessesforsale.com/canadian/franchises/opportunities/fresh-burger-franchise?location=Oakville,https://canada.businessesforsale.com/canadian/franchises/images/franchise8036/browselogobig.jpg,,
167,Established Pet Food Franchise In GTA,"Hamilton, Ontario, Canada","Well established, profitable with a well known national brand. Located in a very busy strip with national anchor tenants and well known brand name tenants. More details »",400000,111052,https://canada.businessesforsale.com/canadian/established-pet-food-franchise-in-gta.aspx,https://canada.businessesforsale.com/uploadsstatic/a3742929mediumthumbnail.jpg?jrIiLFRa1tCv2uZEvaUfMA==,839765,3.6
168,Profitable Beauty Salon And Store Franchise In Ontario,"Ontario, Canada",,635000,247000,https://canada.businessesforsale.com/canadian/profitable-beauty-salon-and-store-franchise-in-ontario.aspx,https://canada.businessesforsale.com/uploadsstatic/a3742822mediumthumbnail.jpg?LnRQpAJgitBwRwpUnzevXQ==,,2.6
169,McDonald� Franchise in Toronto,"Toronto, Ontario",,,700000,https://canada.businessesforsale.com/canadian/franchises/opportunities/mcdonalds-franchise-canada?location=Toronto,https://canada.businessesforsale.com/canadian/franchises/images/franchise8027/browselogobig.jpg,,0.0
170,Thriving Daycare Business In Mississauga,"Mississauga, Ontario, Canada",,,,https://canada.businessesforsale.com/canadian/thriving-daycare-business-in-mississauga.aspx,https://canada.businessesforsale.com/content/shared/images/categoryimages/services.png,,
171,Established Sugaring Hair Removal Salon In Ontario,"Ontario, Canada",,209000,75000,https://canada.businessesforsale.com/canadian/established-sugaring-hair-removal-salon-in-ontario.aspx,https://canada.businessesforsale.com/uploadsstatic/a3742818mediumthumbnail.jpg?z+QrWzZszpkyEYSNUUmKuA==,175000,2.8
172,Best.Energy - Energy Monitoring Franchise in Oshawa,"Oshawa, Ontario",,60000,,https://canada.businessesforsale.com/canadian/franchises/opportunities/best-energy-franchise-canada?location=Oshawa,https://canada.businessesforsale.com/canadian/franchises/images/franchise8338/browselogobig.jpg,,
173,Daycare In Affluent Neighbourhood In Halton,"Halton, Ontario, Canada",,3100000,,https://canada.businessesforsale.com/canadian/daycare-in-affluent-neighbourhood-in-halton.aspx,https://canada.businessesforsale.com/content/shared/images/categoryimages/services.png,375000,
174,Precision CNC Machine Shop In Greater Toronto Area,"Toronto Ontario, Canada",,375000,159000,https://canada.businessesforsale.com/canadian/precision-cnc-machine-shop-in-greater-toronto-area.aspx,https://canada.businessesforsale.com/uploadsstatic/a3742512mediumthumbnail.jpg?PBxOxUD/mdrgrlQvjJkt/g==,333000,2.4
175,"Chef� Door - Restaurant Franchise in Waterloo, ON","Waterloo,Ontario",,35000,,https://canada.businessesforsale.com/canadian/franchises/opportunities/chefs-door-franchise?location=Waterloo%2C%20ON,https://canada.businessesforsale.com/canadian/franchises/images/franchise8571/browselogobig.jpg,,
176,INS Market Etobicoke General Hospital,"Etobicoke, Ontario, Canada",,315000,,https://canada.businessesforsale.com/canadian/ins-market-etobicoke-general-hospital.aspx,https://canada.businessesforsale.com/uploadsstatic/a3742804mediumthumbnail.jpg?nXMB6gPpnIiy3QFFe1CZZg==,,
177,Toronto High Volume Mexican Restaurant & Lounge,"Toronto, Ontario, Canada",,659999,206767,https://canada.businessesforsale.com/canadian/toronto-high-volume-mexican-restaurant-and-lounge.aspx,https://canada.businessesforsale.com/uploadsstatic/a3742486mediumthumbnail.jpg?P9suvFcGDisRiB4y4wmw5g==,1598613,3.2
178,"Kindling Cannabis in Cambridge, Ontario","Cambridge, Ontario",,,150000,https://canada.businessesforsale.com/canadian/franchises/opportunities/kindling-cannabis-opportunity?location=Cambridge%2C%20Ontario,https://canada.businessesforsale.com/canadian/franchises/images/franchise8368/browselogobig.jpg,,0.0
179,1824 Sqft Convenience/vape Store With Kitchen,"Waterloo, Ontario, Canada",,119000,,https://canada.businessesforsale.com/canadian/1824-sqft-convenience-vape-store-with-kitchen.aspx,https://canada.businessesforsale.com/uploadsstatic/a3742227mediumthumbnail.jpg?8Ny0S7zB0PKoslV2xRF6hg==,,
180,Multi Faceted Restaurant And Coffee Shop West GTA,"Toronto, Ontario, Canada",,4000000,1017464,https://canada.businessesforsale.com/canadian/multi-faceted-restaurant-and-coffee-shop-west-gta.aspx,https://canada.businessesforsale.com/uploadsstatic/a3741471mediumthumbnail.jpg?z46PN0IzvwHEQk4Ghb8NmQ==,6377144,3.9
181,Tutor Doctor - Children's Education Franchise in Hamilton,"Hamilton, Ontario",,89550,,https://canada.businessesforsale.com/canadian/franchises/opportunities/tutor-doctor-home-online-tutoring?location=Hamilton,https://canada.businessesforsale.com/canadian/franchises/images/franchise7685/browselogobig.jpg,,
182,Party Entertainment Business In West Toronto Ontario,"Toronto Ontario, Canada",,375000,,https://canada.businessesforsale.com/canadian/party-entertainment-business-in-west-toronto-ontario-for-sale.aspx,https://canada.businessesforsale.com/uploadsstatic/a3741339mediumthumbnail.jpg?01MDkGX3B7vYLVWEwP6siA==,,
183,Corner about 3000 Sqft Convenience/grocery Store With Potentials,"Toronto, Ontario, Canada",,165000,175000,https://canada.businessesforsale.com/canadian/corner-about-3000-sqft-convenience-grocery-store-with-potentials.aspx,https://canada.businessesforsale.com/uploadsstatic/a3740426mediumthumbnail.jpg?Enao1D0xYsILuP55mhjNRw==,,0.9
184,Eazi-Apps Franchise in Hamilton,"Hamilton, Ontario",,12995,,https://canada.businessesforsale.com/canadian/franchises/opportunities/eazi-apps-international-franchise?location=Hamilton,https://canada.businessesforsale.com/canadian/franchises/images/franchise6471/browselogobig.jpg,,
185,Thriving Senior Downsizing & Moving Service In Etobicoke,"Etobicoke, Ontario, Canada",,85000,58192,https://canada.businessesforsale.com/canadian/thriving-senior-downsizing-and-moving-service-in-etobicoke.aspx,https://canada.businessesforsale.com/uploadsstatic/a3740298mediumthumbnail.jpg?4/9YT6P5Et1WZ95udsAaOw==,138524,1.5
186,Physio & Wellness Clinic In Toronto,"Toronto, Ontario, Canada",,500000,215304,https://canada.businessesforsale.com/canadian/physio-and-wellness-clinic-in-toronto.aspx,https://canada.businessesforsale.com/uploadsstatic/a3740016mediumthumbnail.jpg?efVny+XrZn0EZgy7OivQrA==,789621,2.3
187,Minuteman Press Franchise in Ottawa,"Ottawa , Ontario",,,,https://canada.businessesforsale.com/canadian/franchises/opportunities/minuteman-press-franchise?location=Ottawa%20,https://canada.businessesforsale.com/canadian/franchises/images/franchise6509/browselogobig.jpg,,
188,Commercial HVAC Business In Greater Toronto Area,"Toronto Ontario, Canada",,,375000,https://canada.businessesforsale.com/canadian/commercial-hvac-business-in-greater-toronto-area.aspx,https://canada.businessesforsale.com/uploadsstatic/a3739540mediumthumbnail.jpg?3plOH6R98EAruUiCTN/WjA==,,0.0
189,Information And Communications Technology In Southwestern Ontario,"Southwestern Ontario, Canada",,500000,292000,https://canada.businessesforsale.com/canadian/information-and-communications-technology-in-southwestern-ontario.aspx,https://canada.businessesforsale.com/uploadsstatic/a3739489mediumthumbnail.jpg?RC38lRup4xlfgONXV6zF1Q==,1145000,1.7
190,Existing Franchise With Chef's Door Shawarma And Grill In Burlington,"Burlington, Ontario, Canada",,449000,,https://canada.businessesforsale.com/canadian/existing-franchise-with-chef-s-door-shawarma-and-grill-in-burlington.aspx,https://canada.businessesforsale.com/uploadsstatic/a3694982mediumthumbnail.jpg?07nrLW/S/Qin2MCZVWL9lA==,,
191,Profitable Family Restaurant In North of GTA,"Northern Ontario, Canada",,825000,284692,https://canada.businessesforsale.com/canadian/profitable-family-restaurant-in-north-of-gta.aspx,https://canada.businessesforsale.com/uploadsstatic/a3694948mediumthumbnail.jpg?YOb5XD4w1dqqj567UBHnqg==,1640000,2.9
192,Eazi-Apps Franchise in Barrie,"Barrie, Ontario",,12995,,https://canada.businessesforsale.com/canadian/franchises/opportunities/eazi-apps-international-franchise?location=Barrie,https://canada.businessesforsale.com/canadian/franchises/images/franchise6471/browselogobig.jpg,,
193,Family-owned Construction Business-70+ Yrs. Exp,N/A,,7000000,636276,https://canada.businessesforsale.com/canadian/family-owned-construction-business-70-yrs-exp.aspx,https://canada.businessesforsale.com/uploadsstatic/a3694909mediumthumbnail.jpg?21cEXAqzICnwFnE+IpuM7A==,2929756,11.0
194,Reputable And Profitable CPA Firm In Ontario,"Ontario, Canada",,1250000,,https://canada.businessesforsale.com/canadian/reputable-and-profitable-cpa-firm-in-ontario.aspx,https://canada.businessesforsale.com/uploadsstatic/a3694854mediumthumbnail.jpg?AcekI4oiIGj0WOwYZ2L6kw==,,
195,Senior Helpers - Care Franchise in Kingston,"Kingston, Ontario",,,,https://canada.businessesforsale.com/canadian/franchises/opportunities/senior-helpers-care-franchise?location=Kingston,https://canada.businessesforsale.com/canadian/franchises/images/franchise8422/browselogobig.jpg,,
196,"Lucrative Restaurant & Lounge In Richmond Hill, ON","Richmond Hill, Ontario, Canada",,,,https://canada.businessesforsale.com/canadian/lucrative-restaurant-and-lounge-in-richmond-hill-on.aspx,https://canada.businessesforsale.com/content/shared/images/categoryimages/food.png,,
197,Premier Award-winning Senior Care Business,"Waterloo, Ontario, Canada",,139000,,https://canada.businessesforsale.com/canadian/premier-award-winning-senior-care-business-for-sale-270.aspx,https://canada.businessesforsale.com/uploadsstatic/a3694741mediumthumbnail.jpg?UKrLIDko2BAZrfiOSlgF7A==,,
198,ChargeFuze On-the-go Smartphone Charging Solution Business Opportunity in Brantford,"Brantford, Ontario",,,,https://canada.businessesforsale.com/canadian/franchises/opportunities/charge-fuze-charging-solution-business-opportunity?location=Brantford,https://canada.businessesforsale.com/canadian/franchises/images/franchise8354/browselogobig.jpg,160000,
199,Premier Award-winning Senior Care Business,"Milton, Ontario, Canada",,139000,,https://canada.businessesforsale.com/canadian/premier-award-winning-senior-care-business-for-sale-269.aspx,https://canada.businessesforsale.com/uploadsstatic/a3694739mediumthumbnail.jpg?UKrLIDko2BAZrfiOSlgF7A==,,
200,Premier Award-winning Senior Care Business,"Kitchener, Ontario, Canada",,139000,,https://canada.businessesforsale.com/canadian/premier-award-winning-senior-care-business-for-sale-268.aspx,https://canada.businessesforsale.com/uploadsstatic/a3694738mediumthumbnail.jpg?UKrLIDko2BAZrfiOSlgF7A==,,
201,iOB Business Digital Agency Opportunity in Ottawa,"Ottawa, Ontario",,,,https://canada.businessesforsale.com/canadian/franchises/opportunities/iob-business-opportunity-canada?location=Ottawa,https://canada.businessesforsale.com/canadian/franchises/images/franchise7841/browselogobig.jpg,,
202,Premier Award-winning Senior Care Business,"Guelph, Ontario, Canada",,139000,,https://canada.businessesforsale.com/canadian/premier-award-winning-senior-care-business-for-sale-267.aspx,https://canada.businessesforsale.com/uploadsstatic/a3694737mediumthumbnail.jpg?UKrLIDko2BAZrfiOSlgF7A==,,
203,Premier Award-winning Senior Care Business,"Cambridge, Ontario, Canada",,139000,,https://canada.businessesforsale.com/canadian/premier-award-winning-senior-care-business-for-sale-266.aspx,https://canada.businessesforsale.com/uploadsstatic/a3694736mediumthumbnail.jpg?UKrLIDko2BAZrfiOSlgF7A==,,
204,An Even Better Place 2 Work � High-Return Employee Engagement Franchise in London,"London, Ontario",,,,https://canada.businessesforsale.com/canadian/franchises/opportunities/an-even-better-place-to-work-franchise-canada?location=London,https://canada.businessesforsale.com/canadian/franchises/images/franchise8367/browselogobig.jpg,,
205,Premier Award-winning Senior Care Business,"Brampton, Ontario, Canada",,139000,,https://canada.businessesforsale.com/canadian/premier-award-winning-senior-care-business-for-sale-265.aspx,https://canada.businessesforsale.com/uploadsstatic/a3694735mediumthumbnail.jpg?UKrLIDko2BAZrfiOSlgF7A==,,
206,Multi Discipline Dance Studio In Eastern Ontario,"Eastern Ontario, Ontario, Canada",,550000,175000,https://canada.businessesforsale.com/canadian/multi-discipline-dance-studio-in-eastern-ontario.aspx,https://canada.businessesforsale.com/uploadsstatic/a3694612mediumthumbnail.jpg?ab9qfoOTJx0+4Iu0j2YjKg==,860000,3.1
207,Eazi-Apps Franchise in Guelph,"Guelph, Ontario",,12995,,https://canada.businessesforsale.com/canadian/franchises/opportunities/eazi-apps-international-franchise?location=Guelph,https://canada.businessesforsale.com/canadian/franchises/images/franchise6471/browselogobig.jpg,,
208,Profitable Outdoor Adventure Equipment And Sales In Ontario,"Ontario, Canada",,395000,146218,https://canada.businessesforsale.com/canadian/profitable-outdoor-adventure-equipment-and-sales-in-ontario.aspx,https://canada.businessesforsale.com/uploadsstatic/a3694488mediumthumbnail.jpg?vgFuGxekb9NhqxqBxNwN8A==,391918,2.7
209,Below Cost North York Pizza Franchise Location,"North York, Ontario, Canada",,199000,,https://canada.businessesforsale.com/canadian/below-cost-north-york-pizza-franchise-location.aspx,https://canada.businessesforsale.com/uploadsstatic/a3693418mediumthumbnail.jpg?xmjAd0VffxdFSpeIctZVaw==,,
210,Red-E-Bins - Waste Disposal Franchise in Thunder Bay,"Thunder Bay, Ontario",,,,https://canada.businessesforsale.com/canadian/franchises/opportunities/red-e-bins-franchise?location=Thunder%20Bay,https://canada.businessesforsale.com/canadian/franchises/images/franchise6773/browselogobig.jpg,129000,
211,Profitable Shawarma Franchise In Brampton,"Brampton, Ontario, Canada",,,,https://canada.businessesforsale.com/canadian/profitable-shawarma-franchise-in-brampton.aspx,https://canada.businessesforsale.com/content/shared/images/categoryimages/food.png,,
212,Successful Established Metal Stamping Business,"Southern Ontario, Ontario, Canada","Opportunity to acquire a steel metal stamping business selling products across Canada, with a focus on the new home construction industry. Located just south of Toronto, the business is known for its... More details »",2600000,700000,https://canada.businessesforsale.com/canadian/successful-established-metal-stamping-business.aspx,https://canada.businessesforsale.com/uploadsstatic/a3693110mediumthumbnail.jpg?a/e9TLxt/13JwvtwJ821lw==,3000000,3.7
213,Senior Helpers - Care Franchise in Ottawa,"Ottawa, Ontario",,,,https://canada.businessesforsale.com/canadian/franchises/opportunities/senior-helpers-care-franchise?location=Ottawa,https://canada.businessesforsale.com/canadian/franchises/images/franchise8422/browselogobig.jpg,,
